Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
A0A0B4K774	F2FB81	ABI	SCAR	CG9749|DMEL_CG9749	CG4636|DMEL_CG4636	FBGN0020510	FBGN0041781	16155589:0018:LC|16155589:0004:LC|30737382:0004:LC|25203209:0004:LC|19716703:0004:LC|16155589:0019:LC
A0A0B4K774	P55162	ABI	HEM	CG9749|DMEL_CG9749	CG5837	FBGN0020510	FBGN0011771	16155589:0018:LC|30737382:0004:LC|16155589:0004:LC
A0A0B4K774	Q8MLQ0	ABI	HSPC300	CG9749|DMEL_CG9749	CG30173|DMEL_CG30173	FBGN0020510	FBGN0061198	24439376:0096:LC|19363480:0004:LC|24439376:0004:LC
A0A0B4K774	Q9VAT0	ABI	WASP	CG9749|DMEL_CG9749	CG1520|DMEL_CG1520	FBGN0020510	FBGN0024273	16155589:0018:LC|16155589:0004:LC|30737382:0004:LC|16155589:0019:LC
A0A0B4K7J2	P34082	NUP358	FAS2	CG11856	CG3665	FBGN0039302	FBGN0000635	25294943:0096:LC
A0A0B4K7J2	Q9U1H9	NUP358	SBR	CG11856	CG1664	FBGN0039302	FBGN0003321	31570835:0004:LC|16750525:0004:LC
A0A0B4K7J2	Q9V3H8	NUP358	NXT1	CG11856	CG12752	FBGN0039302	FBGN0028411	31570835:0004:LC
A0A0B4K7J3	A0A0B4KG59	SAX	PUT	CG1891|DMEL_CG1891	CG7904|DMEL_CG7904	FBGN0003317	FBGN0003169	7697720:0004:LC|20381612:0004:LC
A0A0B4K7J3	P07713	SAX	DPP	CG1891|DMEL_CG1891	CG9885	FBGN0003317	FBGN0000490	8044839:0096:LC|20381612:0004:LC
A0A0B4K7J3	P27091	SAX	GBB	CG1891|DMEL_CG1891	CG5562	FBGN0003317	FBGN0024234	22174087:0004:LC|22472650:0004:LC|20381612:0004:LC
A0A0B4K7J3	Q5U110	SAX	DAD	CG1891|DMEL_CG1891	CG5201|DMEL_CG5201	FBGN0003317	FBGN0020493	29180412:0004:LC|18588885:0004:LC|18588885:0007:LC
A0A0B4K7J3	Q9VMT1	SAX	TKV	CG1891|DMEL_CG1891	CG14026|DMEL_CG14026	FBGN0003317	FBGN0003716	20381612:0004:LC
A0A0B4K7J4	Q7KT06	GFRL	RET	CG43224|DMEL_CG43224	CG14396|DMEL_CG14396	FBGN0262869	FBGN0011829	28467503:0004:LC|29361562:0004:LC
A0A0B4K7L3	E1JHT6	CAP	RTNL1	CG18408|DMEL_CG18408	CG33113|DMEL_CG33113	FBGN0033504	FBGN0053113	25294943:0096:LC
A0A0B4K7L3	P34082	CAP	FAS2	CG18408|DMEL_CG18408	CG3665	FBGN0033504	FBGN0000635	25294943:0096:LC
A0A0B4K7N1	X2J8L2	SIDE	BEAT-IA	CG31062|DMEL_CG31062	CG4846|DMEL_CG4846	FBGN0016061	FBGN0013433	23827685:0096:LC|23827685:0004:LC|23827685:0107:LC|19369411:0004:LC
A0A0B4K7Q6	P34082	MBC	FAS2	CG10379|DMEL_CG10379	CG3665	FBGN0015513	FBGN0000635	25294943:0007:LC|25294943:0096:LC
A0A0B4K7Q6	Q9VKB2	MBC	CED-12	CG10379|DMEL_CG10379	CG5336|DMEL_CG5336	FBGN0015513	FBGN0032409	15457211:0004:LC|18163987:0004:LC|18163987:0007:LC|18163987:0018:LC
A0A0B4K7Q6	Q9XYM0	MBC	CRK	CG10379|DMEL_CG10379	CG1587	FBGN0015513	FBGN0024811	17030600:0018:LC|15457211:0004:LC|17030600:0004:LC|17030600:0007:LC
A0A0B4K823	A0A0B4K823	DSCAM1	DSCAM1	CG17800|DMEL_CG17800	CG17800|DMEL_CG17800	FBGN0033159	FBGN0033159	22542180:0004:LC|17554308:0004:LC|23827685:0004:LC|15339666:0004:LC
A0A0B4K823	P24014	DSCAM1	SLI	CG17800|DMEL_CG17800	CG43758	FBGN0033159	FBGN0264089	27654876:0004:LC|26317474:0004:LC
A0A0B4K823	Q24568	DSCAM1	NETB	CG17800|DMEL_CG17800	CG10521	FBGN0033159	FBGN0015774	18948420:0004:LC|27654876:0004:LC
