Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
Q95RV2	Q9Y1B2	CAV	ORC6	CG6219	CG1584	FBGN0026257	FBGN0023180	11408576:0004:LC|12826664:0004:LC
Q95S25	Q9VRQ2	MAD1	MAD2	CG2072	CG17498|DMEL_CG17498	FBGN0026326	FBGN0035640	25772408:0004:LC|22553353:0004:LC|30333236:0004:LC
Q95TJ9	Q9VB23	CYCG	WDB	CG11525	CG5643|DMEL_CG5643	FBGN0039858	FBGN0027492	26274446:0004:LC|26980713:0018:LC|26980713:0004:LC|26274446:0018:LC
Q960N3	Q9VS37	CORT	CDC27	CG11330	CG8610|DMEL_CG8610	FBGN0000351	FBGN0012058	18020708:0004:LC|24019759:0004:LC|24019759:0007:LC
Q960X4	Q9NDJ2	TIP60	DOM	CG6121	CG9696	FBGN0026080	FBGN0020306	15528408:0004:LC|32432549:0004:LC
Q960Z0	Q9VKM1	KLP10A	PIWI	CG1453	CG6122	FBGN0030268	FBGN0004872	19812547:0004:LC|32168327:0004:LC
Q961D1	Q9VP22	CYCK	CDK12	CG15218|DMEL_CG15218	CG7597	FBGN0025674	FBGN0037093	20952539:0004:LC
Q961D9	Q9V9W8	LGS	PYGO	CG2041	CG11518	FBGN0039907	FBGN0043900	15043810:0004:LC|19493659:0004:LC|14612447:0004:LC
Q961T8	Q9VDD5	DPR5	CDIP	CG5308|DMEL_CG5308	CG10824|DMEL_CG10824	FBGN0037908	FBGN0038865	23827685:0004:LC|26687361:0004:LC
Q961T8	Q9VMN6	DPR5	DIP-THETA	CG5308|DMEL_CG5308	CG31646|DMEL_CG31646	FBGN0037908	FBGN0051646	30467080:0096:LC|23827685:0004:LC|26687361:0004:LC
Q9BI20	Q9V455	DIS3	KAP-ALPHA3	CG6413	CG9423|DMEL_CG9423	FBGN0039183	FBGN0027338	19220816:0004:LC|20421210:0004:LC
Q9BI20	Q9VFF3	DIS3	RRP6	CG6413	CG7292|DMEL_CG7292	FBGN0039183	FBGN0038269	19220816:0004:LC|20421210:0004:LC
Q9BI20	Q9VGZ2	DIS3	RRP46	CG6413	CG4043|DMEL_CG4043	FBGN0039183	FBGN0037815	19220816:0004:LC|20421210:0004:LC
Q9BI20	Q9VK19	DIS3	SKI6	CG6413	CG15481|DMEL_CG15481	FBGN0039183	FBGN0032487	20421210:0004:LC
Q9BI20	Q9VKJ4	DIS3	CSL4	CG6413	CG6249|DMEL_CG6249	FBGN0039183	FBGN0032346	19220816:0004:LC|20421210:0004:LC
Q9BI20	Q9VW53	DIS3	MTR3	CG6413	CG8025|DMEL_CG8025	FBGN0039183	FBGN0036916	19220816:0004:LC
Q9BI20	Q9VXL4	DIS3	RRP47	CG6413	CG8928|DMEL_CG8928	FBGN0039183	FBGN0030711	19220816:0004:LC|20421210:0004:LC
Q9BI20	Q9W1M9	DIS3	RRP4	CG6413	CG3931|DMEL_CG3931	FBGN0039183	FBGN0034879	19220816:0004:LC|20421210:0004:LC
Q9BIR7	Q9VYX1	HSP70BC	E(Y)2	CG6489	CG15191	FBGN0013279	FBGN0000618	22989713:0004:LC|20960243:0004:LC
Q9BIS2	Q9VYX1	HSP70BB	E(Y)2	CG31359	CG15191	FBGN0013278	FBGN0000618	22989713:0004:LC|20960243:0004:LC
Q9GNK5	Q9GNK5	PGRP-LC	PGRP-LC	CG4432	CG4432	FBGN0035976	FBGN0035976	29045898:0096:LC|21372849:0096:LC|29045898:0114:LC|21372849:0107:LC|15657141:0004:LC
Q9GNK5	Q9W2E6	PGRP-LC	PIRK	CG4432	CG15678|DMEL_CG15678	FBGN0035976	FBGN0034647	18688280:0004:LC|27548432:0004:LC|18692774:0004:LC|18390723:0004:LC|18688280:0018:LC
Q9GYU8	Q9W1X4	MBO	NUP214	CG6819	CG3820	FBGN0026207	FBGN0010660	17032737:0004:LC
Q9GYV5	Q9VEZ5	KEY	IKKBETA	CG16910	CG4201	FBGN0041205	FBGN0024222	11018014:0007:LC|29097655:0004:LC|11018014:0018:LC|11018014:0004:LC
Q9NB71	Q9V6L9	HIW	FSN	CG32592	CG4643	FBGN0030600	FBGN0043010	21874015:0004:LC|17697379:0004:LC
Q9NBW1	Q9VFX1	FZ4	WNTD	CG4626	CG8458	FBGN0027342	FBGN0038134	12205098:0004:LC|22069480:0004:LC
Q9NCC3	Q9VAT0	SH3PX1	WASP	CG6757|DMEL_CG6757	CG1520|DMEL_CG1520	FBGN0040475	FBGN0024273	11546816:0004:LC|11546816:0018:LC|11773052:0004:LC
Q9NCC3	Q9VPU1	SH3PX1	DOCK	CG6757|DMEL_CG6757	CG3727|DMEL_CG3727	FBGN0040475	FBGN0010583	11546816:0004:LC|11546816:0018:LC|11773052:0004:LC|11773052:0018:LC
Q9NCC3	Q9VVI3	SH3PX1	NEDD4	CG6757|DMEL_CG6757	CG7555	FBGN0040475	FBGN0259174	26823013:0004:LC|30518551:0004:LC
Q9NCC3	Q9VZI2	SH3PX1	ACK	CG6757|DMEL_CG6757	CG14992	FBGN0040475	FBGN0028484	11773052:0096:LC|11773052:0018:LC|11773052:0415:LC|11773052:0004:LC|22615583:0004:LC
Q9NFU0	Q9NFU0	FMR1	FMR1	CG6203	CG6203	FBGN0028734	FBGN0028734	12368261:0676:LC|23666178:0004:LC|12460546:0004:LC|11733059:0004:LC
Q9NFU0	Q9V426	FMR1	VIG	CG6203	CG4170|DMEL_CG4170	FBGN0028734	FBGN0024183	30470739:0004:LC|19026789:0004:LC|14508492:0004:LC
Q9NFU0	Q9VF87	FMR1	SRA-1	CG6203	CG4931	FBGN0028734	FBGN0038320	25908854:0004:LC|12818175:0004:LC
Q9NFU0	Q9VHP0	FMR1	BEL	CG6203	CG9748	FBGN0028734	FBGN0263231	25294943:0007:LC|19026789:0004:LC
Q9NFU0	Q9VKM1	FMR1	PIWI	CG6203	CG6122	FBGN0028734	FBGN0004872	16949822:0004:LC|26842990:0004:LC
Q9NFU0	Q9VUH8	FMR1	TDRD3	CG6203	CG13472|DMEL_CG13472	FBGN0028734	FBGN0036450	30470739:0004:LC|23912945:0004:LC
Q9NFU0	Q9VUQ5	FMR1	AGO2	CG6203	CG7439	FBGN0028734	FBGN0087035	15231716:0004:LC|12368260:0004:LC|12368261:0096:LC|12368261:0676:LC|12368261:0004:LC
Q9NFU0	Q9W596	FMR1	FUTSCH	CG6203	CG34387	FBGN0028734	FBGN0259108	28819289:0004:LC|31484070:0004:LC|23666178:0004:LC|30771457:0004:LC|22843500:0004:LC|11733059:0004:LC
Q9NFU0	Q9W5R8	FMR1	RPL5	CG6203	CG17489	FBGN0028734	FBGN0064225	12368261:0096:LC|24746697:0004:LC|24746697:0096:LC|12368261:0676:LC|12368261:0004:LC
Q9NGX3	Q9V9C8	BUFFY	DEBCL	CG8238	CG33134|DMEL_CG33134	FBGN0040491	FBGN0029131	27348811:0004:LC|12853472:0004:LC
Q9NHB0	Q9VYX7	GNBP1	PGRP-SA	CG6895	CG11709	FBGN0040323	FBGN0030310	18697931:0107:LC|18697931:0028:LC|18697931:0096:LC|17024181:0096:LC
Q9NHD5	Q9VFN9	SAN	DHYPK	CG12352	CG9922|DMEL_CG9922	FBGN0024188	FBGN0038196	26861501:0004:LC
Q9NHD5	Q9VT75	SAN	VNC	CG12352	CG11989|DMEL_CG11989	FBGN0024188	FBGN0263251	14653991:0004:LC|26861501:0004:LC
Q9NHD5	Q9VWI2	SAN	NAA15-16	CG12352	CG12202|DMEL_CG12202	FBGN0024188	FBGN0031020	14653991:0004:LC|26861501:0004:LC
Q9NJG9	Q9VKD5	SU(Z)12	ESCL	CG8013	CG5202|DMEL_CG5202	FBGN0020887	FBGN0032391	18048023:0004:LC|16537908:0007:LC
Q9NK54	Q9W3Y1	CHIF	CDC7	CG5813	CG32742|DMEL_CG32742	FBGN0000307	FBGN0028360	25451925:0004:LC|30559249:0018:LC|30559249:0004:LC|25451925:0415:LC
Q9TVQ5	Q9V460	SPT4	SPT5	CG12372	CG7626	FBGN0028683	FBGN0040273	20534440:0007:LC|28213523:0004:LC|25242320:0004:LC|23894613:0004:LC|29208012:0004:LC
Q9U1H9	Q9V3H8	SBR	NXT1	CG1664	CG12752	FBGN0003321	FBGN0028411	31398345:0004:LC|18086857:0004:LC|31570835:0096:LC|31570835:0114:LC|31570835:0018:LC|31570835:0004:LC
Q9U1H9	Q9VSK8	SBR	ZC3H3	CG1664	CG6694	FBGN0003321	FBGN0035900	19364924:0004:LC|18086857:0004:LC
Q9U1H9	Q9VTL1	SBR	PCID2	CG1664	CG7351	FBGN0003321	FBGN0036184	28064320:0004:LC|18086857:0004:LC
Q9U1H9	Q9W1X4	SBR	NUP214	CG1664	CG3820	FBGN0003321	FBGN0010660	31570835:0018:LC|31570835:0004:LC|16750525:0004:LC
Q9U3V9	Q9VYX1	XMAS-2	E(Y)2	CG32562	CG15191	FBGN0028974	FBGN0000618	19947544:0018:LC|28064320:0004:LC|27016737:0004:LC|20714859:0004:LC|18034162:0004:LC|20048002:0004:LC|18034162:0018:LC|18034162:0006:LC|19947544:0004:LC
Q9U5W9	Q9VTZ1	TAF10	GCN5	CG2859	CG4107|DMEL_CG4107	FBGN0028398	FBGN0020388	12482983:0028:LC|12482983:0004:LC|18034162:0004:LC|12482983:0006:LC|11438676:0004:LC|18034162:0006:LC|19947544:0004:LC
Q9U5W9	Q9VWF2	TAF10	E(Y)3	CG2859	CG12238	FBGN0028398	FBGN0087008	19541607:0007:LC|19541607:0004:LC|19230385:0004:LC|19541607:0006:LC|19230386:0004:LC
Q9U5W9	Q9VYX1	TAF10	E(Y)2	CG2859	CG15191	FBGN0028398	FBGN0000618	11438676:0004:LC|18034162:0006:LC|18034162:0004:LC|19947544:0004:LC
Q9U6B8	Q9U6B8	ORAI	ORAI	CG11430	CG11430	FBGN0041585	FBGN0041585	18820677:0007:LC|18820677:0096:LC|31009446:0114:LC|31009446:0096:LC
Q9U6R9	Q9W1I8	GAMMASNAP1	SNAP29	CG3988|DMEL_CG3988	CG11173|DMEL_CG11173	FBGN0028552	FBGN0034913	25551675:0004:LC
Q9V345	Q9V4S8	CSN4	CSN7	CG8725	CG2038	FBGN0027054	FBGN0028836	25119050:0004:LC|25119050:0007:LC
Q9V345	Q9VCY3	CSN4	CSN6	CG8725	CG6932	FBGN0027054	FBGN0028837	25119050:0004:LC|25119050:0007:LC
Q9V359	Q9VVA7	VPS28	TSG101	CG12770	CG9712|DMEL_CG9712	FBGN0021814	FBGN0036666	15728719:0004:LC
Q9V393	Q9VWK5	KRZ	ULP1	CG1487|DMEL_CG1487	CG12359|DMEL_CG12359	FBGN0040206	FBGN0027603	28195188:0004:LC|24077307:0004:LC
Q9V3A7	Q9VAJ1	GLU	CAP-D2	CG11397|DMEL_CG11397	CG1911|DMEL_CG1911	FBGN0015391	FBGN0039680	15923665:0004:LC|23637630:0004:LC
Q9V3C4	Q9VV74	GEM3	SMN	CG6539|DMEL_CG6539	CG16725	FBGN0011802	FBGN0036641	25144193:0004:LC|32453722:0004:LC|18923150:0004:LC|19023405:0004:LC
Q9V3D6	Q9VE51	CPSF100	CPSF73	CG1957	CG7698	FBGN0027873	FBGN0261065	26081560:0004:LC|19450530:0004:LC
Q9V3E9	Q9VK58	SPAG	PIH1D1	CG13570|DMEL_CG13570	CG5792|DMEL_CG5792	FBGN0015544	FBGN0032455	24394412:0018:LC|24394412:0004:LC|29743191:0004:LC
Q9V3G7	Q9VWD9	RPN7	UBQN	CG5378	CG14224|DMEL_CG14224	FBGN0028688	FBGN0031057	22215586:0096:LC|22364263:0004:LC
Q9V3H0	Q9V3H0	DREP4	DREP4	CG9414|DMEL_CG9414	CG9414|DMEL_CG9414	FBGN0028406	FBGN0028406	24233238:0096:LC
Q9V3H8	Q9VV73	NXT1	NXF2	CG12752	CG4118	FBGN0028411	FBGN0036640	31368590:0004:LC|31398345:0004:LC|31219034:0004:LC|31570835:0096:LC|31384064:0096:LC|31570835:0018:LC|31570835:0004:LC|31384064:0114:LC|31384064:0004:LC
Q9V3H8	Q9W2H9	NXT1	PANX	CG12752	CG9754	FBGN0028411	FBGN0034617	31368590:0004:LC|31219034:0004:LC|31384064:0004:LC
Q9V3I1	Q9V3I1	DUTPASE	DUTPASE	CG4584|DMEL_CG4584	CG4584|DMEL_CG4584	FBGN0250837	FBGN0250837	14724274:0096:LC
Q9V3I2	Q9VLB7	RAB5	GDI	CG3664|DMEL_CG3664	CG4422|DMEL_CG4422	FBGN0014010	FBGN0004868	25453831:0004:LC|25242320:0004:LC
Q9V3I2	Q9VLS5	RAB5	RBSN-5	CG3664|DMEL_CG3664	CG8506|DMEL_CG8506	FBGN0014010	FBGN0261064	18685079:0004:LC|25453831:0004:LC|20534670:0004:LC
Q9V3I2	Q9W2M0	RAB5	RBPN-5	CG3664|DMEL_CG3664	CG4030|DMEL_CG4030	FBGN0014010	FBGN0034585	24104056:0004:LC|25453831:0004:LC
Q9V3I5	Q9VAA9	JIL-1	JASPER	CG6297	CG7946|DMEL_CG7946	FBGN0020412	FBGN0039743	31767855:0004:LC|32499180:0096:LC|32499180:0018:LC|32499180:0004:LC
Q9V3I5	Q9VP57	JIL-1	PZG	CG6297	CG7752|DMEL_CG7752	FBGN0020412	FBGN0259785	23271984:0004:LC|21799255:0004:LC
Q9V3J8	Q9V444	WDS	CHRAC-14	CG17437	CG13399	FBGN0040066	FBGN0043002	20813260:0007:LC|18327268:0004:LC|20813260:0004:LC
Q9V3J8	Q9V4C8	WDS	HCF	CG17437	CG1710	FBGN0040066	FBGN0039904	18327268:0004:LC|20813260:0004:LC
Q9V3J8	Q9VBX2	WDS	MOCS2B	CG17437	CG10238	FBGN0040066	FBGN0039280	20813260:0007:LC|18327268:0004:LC|20813260:0004:LC
Q9V3J8	Q9VJ73	WDS	ATAC2	CG17437	CG10414|DMEL_CG10414	FBGN0040066	FBGN0032691	20813260:0007:LC|18327268:0004:LC|22345504:0004:LC|20813260:0004:LC
Q9V3J8	Q9VJQ5	WDS	NC2BETA	CG17437	CG4185	FBGN0040066	FBGN0028926	18327268:0004:LC|20813260:0004:LC
Q9V3J8	Q9VLL1	WDS	D12	CG17437	CG13400|DMEL_CG13400	FBGN0040066	FBGN0027490	20813260:0007:LC|18327268:0004:LC|20813260:0004:LC
Q9V3J8	Q9VTZ1	WDS	GCN5	CG17437	CG4107|DMEL_CG4107	FBGN0040066	FBGN0020388	18327268:0004:LC|20813260:0004:LC
Q9V3J8	Q9W2I4	WDS	SGF29	CG17437	CG30390|DMEL_CG30390	FBGN0040066	FBGN0050390	20813260:0004:LC
Q9V3K3	Q9VH07	REPT	PONT	CG9750	CG4003	FBGN0040075	FBGN0040078	16618800:0007:LC|15528408:0004:LC|16087886:0007:LC
Q9V3S3	Q9VAC4	PROTA	NPH	CG4479|DMEL_CG4479	CG7911|DMEL_CG7911	FBGN0013300	FBGN0039735	25228646:0004:LC|28031247:0004:LC
Q9V3S3	Q9W1G7	PROTA	NAP1	CG4479|DMEL_CG4479	CG5330|DMEL_CG5330	FBGN0013300	FBGN0015268	25228646:0004:LC|28031247:0004:LC
Q9V3V3	Q9VFG8	PEZ	KIBRA	CG9493|DMEL_CG9493	CG33967	FBGN0031799	FBGN0262127	25814387:0004:LC|22305752:0004:LC
Q9V3V7	Q9VM45	SPC25	NUF2	CG7242	CG8902|DMEL_CG8902	FBGN0087021	FBGN0031886	17534428:0004:LC|17333235:0004:LC
Q9V3V7	Q9VS01	SPC25	MIS12	CG7242	CG18156|DMEL_CG18156	FBGN0087021	FBGN0035725	17534428:0004:LC|17333235:0004:LC
Q9V3V7	Q9VYB1	SPC25	NDC80	CG7242	CG9938|DMEL_CG9938	FBGN0087021	FBGN0030500	17534428:0004:LC|17333235:0004:LC
Q9V3V7	Q9VYX4	SPC25	KMN1	CG7242	CG1558|DMEL_CG1558	FBGN0087021	FBGN0027259	17534428:0004:LC|17333235:0004:LC
Q9V3X4	Q9V3X4	SEIPIN	SEIPIN	CG9904	CG9904	FBGN0040336	FBGN0040336	30327422:0096:LC|30327422:0114:LC|24807223:0004:LC
Q9V3Y8	Q9V9Y9	IKKEPSILON	SPN-F	CG2615|DMEL_CG2615	CG12114	FBGN0086657	FBGN0086362	26540204:0004:LC|18796167:0096:LC|18796167:0415:LC|26092846:0004:LC|24019068:0004:LC|18796167:0004:LC
Q9V3Y8	Q9VM50	IKKEPSILON	RAB30	CG2615|DMEL_CG2615	CG9100|DMEL_CG9100	FBGN0086657	FBGN0031882	25453831:0004:LC|19001129:0004:LC
Q9V3Z6	Q9VAF5	CK	CAD99C	CG7595	CG31009	FBGN0000317	FBGN0039709	25236597:0004:LC|27331610:0004:LC
Q9V405	Q9VWD9	RPT3	UBQN	CG16916|DMEL_CG16916	CG14224|DMEL_CG14224	FBGN0028686	FBGN0031057	22215586:0096:LC|22364263:0004:LC
Q9V407	Q9Y1T2	AXN	APC2	CG7926	CG6193|DMEL_CG6193	FBGN0026597	FBGN0026598	21772251:0007:LC|21772251:0004:LC|26975665:0004:LC|26393419:0004:LC|21471006:0004:LC|29408853:0004:LC
Q9V426	Q9VUQ5	VIG	AGO2	CG4170|DMEL_CG4170	CG7439	FBGN0024183	FBGN0087035	12368260:0004:LC|14508492:0004:LC|19026789:0004:LC
Q9V439	Q9VEC1	MED22	MED17	CG3034	CG7957	FBGN0040339	FBGN0038578	26624996:0004:LC|12021283:0004:LC|12021283:0007:LC
Q9V444	Q9V452	CHRAC-14	CHRAC-16	CG13399	CG15736	FBGN0043002	FBGN0043001	10856248:0004:LC|10856248:0019:LC|10856248:0096:LC|10856248:0071:LC|16260604:0004:LC|16260604:0114:LC|10856248:0018:LC
Q9V444	Q9V4C8	CHRAC-14	HCF	CG13399	CG1710	FBGN0043002	FBGN0039904	20813260:0007:LC|18327268:0004:LC|20813260:0004:LC
Q9V444	Q9V9T4	CHRAC-14	ACF	CG13399	CG1966|DMEL_CG1966	FBGN0043002	FBGN0027620	16260604:0004:LC|11447119:0004:LC
Q9V444	Q9VBX2	CHRAC-14	MOCS2B	CG13399	CG10238	FBGN0043002	FBGN0039280	20813260:0007:LC|18327268:0004:LC|22345504:0004:LC|20813260:0004:LC
Q9V444	Q9VJ73	CHRAC-14	ATAC2	CG13399	CG10414|DMEL_CG10414	FBGN0043002	FBGN0032691	20813260:0007:LC|18327268:0004:LC|22345504:0004:LC|20813260:0004:LC
Q9V444	Q9VJQ5	CHRAC-14	NC2BETA	CG13399	CG4185	FBGN0043002	FBGN0028926	20813260:0007:LC|18327268:0004:LC|20813260:0004:LC
Q9V444	Q9VLL1	CHRAC-14	D12	CG13399	CG13400|DMEL_CG13400	FBGN0043002	FBGN0027490	20813260:0007:LC|18327268:0004:LC|20813260:0004:LC
Q9V444	Q9VM59	CHRAC-14	ATAC1	CG13399	CG9200|DMEL_CG9200	FBGN0043002	FBGN0031876	20813260:0007:LC|18327268:0004:LC|20813260:0004:LC
Q9V444	Q9VTZ1	CHRAC-14	GCN5	CG13399	CG4107|DMEL_CG4107	FBGN0043002	FBGN0020388	20813260:0007:LC|18327268:0004:LC|20813260:0004:LC
Q9V444	Q9W2I4	CHRAC-14	SGF29	CG13399	CG30390|DMEL_CG30390	FBGN0043002	FBGN0050390	20813260:0007:LC|20813260:0004:LC
Q9V461	Q9VGW6	MCM6	MCM5	CG4039	CG4082	FBGN0025815	FBGN0017577	11726693:0006:LC
Q9V461	Q9XYU0	MCM6	MCM7	CG4039	CG4978	FBGN0025815	FBGN0020633	16798881:0007:LC
Q9V461	Q9XYU1	MCM6	MCM3	CG4039	CG4206	FBGN0025815	FBGN0284442	11726693:0006:LC|21378962:0007:LC
Q9V491	Q9V4A7	PLEXA	PLEXB	CG11081|DMEL_CG11081	CG17245	FBGN0025741	FBGN0025740	16672342:0004:LC|24284209:0004:LC|16672342:0018:LC
Q9V4C8	Q9VBX2	HCF	MOCS2B	CG1710	CG10238	FBGN0039904	FBGN0039280	20813260:0007:LC|18327268:0004:LC|20813260:0004:LC
Q9V4C8	Q9VJ73	HCF	ATAC2	CG1710	CG10414|DMEL_CG10414	FBGN0039904	FBGN0032691	20813260:0007:LC|18327268:0004:LC|22345504:0004:LC|20813260:0004:LC
Q9V4C8	Q9VLL1	HCF	D12	CG1710	CG13400|DMEL_CG13400	FBGN0039904	FBGN0027490	20813260:0007:LC|20813260:0004:LC
Q9V4C8	Q9VM59	HCF	ATAC1	CG1710	CG9200|DMEL_CG9200	FBGN0039904	FBGN0031876	16428443:0004:LC
Q9V4C8	Q9VTZ1	HCF	GCN5	CG1710	CG4107|DMEL_CG4107	FBGN0039904	FBGN0020388	16428443:0004:LC
Q9V4D9	Q9V4D9	PUR-ALPHA	PUR-ALPHA	CG1507|DMEL_CG1507	CG1507|DMEL_CG1507	FBGN0022361	FBGN0022361	19846792:0071:LC|19846792:0114:LC|19846792:0096:LC|22614836:0004:LC
Q9V4F9	Q9VEC1	MED26	MED17	CG1793|CG1823	CG7957	FBGN0039923	FBGN0038578	20353594:0007:LC|24820420:0004:LC
Q9V4S8	Q9VCY3	CSN7	CSN6	CG2038	CG6932	FBGN0028836	FBGN0028837	25119050:0004:LC|25119050:0007:LC
Q9V4Z9	Q9VQU9	LIN	BOWL	CG11770	CG10021	FBGN0002552	FBGN0004893	22613630:0004:LC|15769943:0004:LC
Q9V535	Q9VEC5	TSU	CDM	CG8781	CG7212|DMEL_CG7212	FBGN0033378	FBGN0261532	20122403:0004:LC|20122403:0114:LC
Q9V535	Q9VHS8	TSU	Q9VHS8	CG8781	CG7483	FBGN0033378	FBGN0037573	22961380:0004:LC|31365866:0004:LC|14973490:0004:LC|24967911:0004:LC
Q9V5C6	Q9V637	PROSALPHA7	PI31	CG1519	CG8979	FBGN0023175	FBGN0033669	31327739:0004:LC|23622245:0007:LC|23622245:0004:LC
Q9V5C6	Q9VWD9	PROSALPHA7	UBQN	CG1519	CG14224|DMEL_CG14224	FBGN0023175	FBGN0031057	22215586:0096:LC|22364263:0004:LC
Q9V6Q2	Q9V6Q2	CID	CID	CG13329	CG13329	FBGN0040477	FBGN0040477	22209075:0004:LC|19047461:0004:LC|22209075:0096:LC
Q9V6Q2	Q9VEN2	CID	CAL1	CG13329	CG5148|DMEL_CG5148	FBGN0040477	FBGN0038478	26586808:0004:LC|21589899:0004:LC|32134144:0004:LC|32134144:0114:LC|27093083:0004:LC|31713634:0004:LC|24636256:0004:LC|22209075:0004:LC|32134144:0096:LC|24469636:0004:LC|19047461:0004:LC
Q9V6Q2	Q9VHP9	CID	CENP-C	CG13329	CG31258|DMEL_CG31258	FBGN0040477	FBGN0266916	19047461:0004:LC|25562660:0004:LC
Q9V719	Q9VK45	SIN1	TOR	CG10105	CG5092	FBGN0033935	FBGN0021796	23348839:0004:LC|22068330:0007:LC|22068330:0004:LC
Q9V719	Q9VWJ6	SIN1	RICTOR	CG10105	CG8002|DMEL_CG8002	FBGN0033935	FBGN0031006	27626673:0004:LC|22068330:0007:LC|22068330:0004:LC
Q9V853	Q9VA38	SMURF	WTS	CG4943	CG12072	FBGN0029006	FBGN0011739	27856247:0004:LC|25450375:0004:LC
Q9V8K2	Q9VQQ9	SEC6	SEC5	CG5341	CG8843	FBGN0266671	FBGN0266670	15897260:0004:LC|15955846:0004:LC
Q9V8W3	Q9VM50	REP	RAB30	CG8432	CG9100|DMEL_CG9100	FBGN0026378	FBGN0031882	25453831:0004:LC|19001129:0004:LC
Q9V9R2	Q9W5E1	CUL2	ROC1A	CG1512|DMEL_CG1512	CG16982	FBGN0032956	FBGN0025638	15331761:0004:LC|18698375:0004:LC
Q9V9W7	Q9VA00	ROD	ZWILCH	CG1569|DMEL_CG1569	CG18729	FBGN0003268	FBGN0061476	12686595:0004:LC|25616898:0004:LC
Q9V9W7	Q9W4X9	ROD	ZW10	CG1569|DMEL_CG1569	CG9900	FBGN0003268	FBGN0004643	19475384:0004:LC|12686595:0004:LC|25616898:0004:LC|11590237:0004:LC|17306545:0004:LC
Q9VA00	Q9W4X9	ZWILCH	ZW10	CG18729	CG9900	FBGN0061476	FBGN0004643	17306545:0004:LC|19475384:0004:LC|12686595:0004:LC
Q9VA38	Q9VY77	WTS	JUB	CG12072	CG11063	FBGN0011739	FBGN0030530	20303269:0004:LC|24995985:0004:LC|23484853:0004:LC|30659113:0004:LC
Q9VAB8	Q9VAB8	ZIPIC	ZIPIC	CG7928|DMEL_CG7928	CG7928|DMEL_CG7928	FBGN0039740	FBGN0039740	30995488:0809:LC|30995488:0946:LC|30995488:0397:LC|30995488:0090:LC|27137890:0018:LC|30995488:0018:LC|27137890:0004:LC|30995488:0096:LC
Q9VAC1	Q9VIE8	ANON-WO0153538.36	MACON1	CG7920|DMEL_CG7920	CG9244|DMEL_CG9244	FBGN0039737	FBGN0010100	25294943:0096:LC
Q9VAC8	Q9XZ31	SAS-6	ANA2	CG15524	CG8262|DMEL_CG8262	FBGN0039731	FBGN0027513	20123993:0004:LC|25264260:0004:LC|29263250:0004:LC|22020124:0096:LC|20123993:0018:LC
Q9VAP2	Q9VJ57	DGT6	GRIP71	CG11881	CG10346|DMEL_CG10346	FBGN0039638	FBGN0032705	28351835:0004:LC|19369198:0004:LC|19369198:0007:LC
Q9VAP2	Q9VKD6	DGT6	DGT2	CG11881	CG16969	FBGN0039638	FBGN0032390	19369198:0007:LC|19369198:0004:LC|18443220:0004:LC
Q9VAP2	Q9W0G6	DGT6	MSD5	CG11881	CG2213	FBGN0039638	FBGN0035210	19369198:0007:LC|19369198:0004:LC
Q9VAP2	Q9W0G7	DGT6	MSD1	CG11881	CG13914	FBGN0039638	FBGN0035209	19369198:0007:LC|28351835:0004:LC|19369198:0004:LC|19684111:0004:LC|31933481:0004:LC
Q9VAP2	Q9W0S8	DGT6	WAC	CG11881	CG13879	FBGN0039638	FBGN0035120	19369198:0007:LC|19369198:0004:LC
Q9VAP2	Q9W2P0	DGT6	DGT3	CG11881	CG3221	FBGN0039638	FBGN0034569	18443220:0004:LC
Q9VAP2	Q9W4M8	DGT6	DGT4	CG11881	CG4865	FBGN0039638	FBGN0026085	18443220:0004:LC
Q9VAR6	Q9VDD5	DIP-GAMMA	CDIP	CG14521|DMEL_CG14521	CG10824|DMEL_CG10824	FBGN0039617	FBGN0038865	23827685:0004:LC|26687361:0004:LC
Q9VAR6	Q9VGD0	DIP-GAMMA	DPR15	CG14521|DMEL_CG14521	CG10095|DMEL_CG10095	FBGN0039617	FBGN0037993	30467080:0096:LC|26687361:0004:LC
Q9VAT0	X2JAU8	WASP	NWK	CG1520|DMEL_CG1520	CG43479	FBGN0024273	FBGN0263456	14980202:0004:LC|14980202:0018:LC|27601635:0004:LC|18701694:0004:LC|18701694:0415:LC|14980202:0096:LC
Q9VAX8	Q9W032	DMEL\CG4849	ECD	CG4849|DMEL_CG4849	CG5714	FBGN0039566	FBGN0000543	24722212:0004:LC
Q9VB08	Q9VHH9	SCE	KDM2	CG5595	CG11033	FBGN0003330	FBGN0037659	25415640:0004:LC|18923078:0004:LC
Q9VB08	Q9W215	SCE	RYBP	CG5595	CG12190|DMEL_CG12190	FBGN0003330	FBGN0034763	25415640:0004:LC|25242320:0004:LC|18562658:0004:LC
Q9VB08	Q9W523	SCE	PH-D	CG5595	CG3895|DMEL_CG3895	FBGN0003330	FBGN0004860	25415640:0004:LC|18923078:0004:LC|27151979:0004:LC|22491092:0004:LC|25468754:0004:LC
Q9VB22	Q9VN82	PINS	CNO	CG5692|DMEL_CG5692	CG42312|DMEL_CG42312	FBGN0040080	FBGN0259212	22024168:0004:LC|18499457:0004:LC
